"carat";"cut";"price"
0,74;"Ideal";2762
0,7;"Very Good";2762
0,7;"Fair";2762
0,7;"Fair";2762
0,7;"Premium";2762
0,91;"Premium";2763
0,61;"Very Good";2763
0,91;"Fair";2763
0,91;"Fair";2763
0,77;"Ideal";2763
0,71;"Very Good";2764
0,71;"Ideal";2764
0,7;"Very Good";2765
0,77;"Very Good";2765
0,63;"Premium";2765
0,71;"Very Good";2765
0,71;"Premium";2765
0,76;"Ideal";2765
0,64;"Ideal";2766
0,71;"Premium";2766
0,71;"Premium";2766
0,7;"Very Good";2767
0,7;"Very Good";2767
0,71;"Ideal";2767
0,7;"Good";2767
0,71;"Very Good";2768
0,73;"Very Good";2768
0,7;"Very Good";2768
0,7;"Ideal";2768
0,71;"Premium";2768
0,74;"Ideal";2769
0,71;"Premium";2770
0,73;"Premium";2770
0,76;"Very Good";2770
0,76;"Ideal";2770
0,71;"Ideal";2770
0,73;"Premium";2770
0,73;"Premium";2770
0,73;"Ideal";2770
0,73;"Premium";2770
0,72;"Very Good";2771
0,73;"Very Good";2771
0,71;"Ideal";2771
0,79;"Ideal";2771
0,73;"Very Good";2772
0,8;"Very Good";2772
0,58;"Ideal";2772
0,58;"Ideal";2772
0,71;"Good";2772
0,75;"Ideal";2773
0,7;"Premium";2773
1,17;"Very Good";2774
0,6;"Ideal";2774
0,7;"Ideal";2774
0,83;"Good";2774
0,74;"Very Good";2775
0,72;"Very Good";2776
0,71;"Premium";2776
0,71;"Ideal";2776
0,54;"Ideal";2776
0,54;"Ideal";2776
0,72;"Ideal";2776
0,72;"Ideal";2776
0,72;"Good";2776
0,71;"Ideal";2776
0,7;"Very Good";2777
0,71;"Premium";2777
0,71;"Very Good";2777
0,71;"Good";2777
0,71;"Good";2777
0,7;"Ideal";2777
0,7;"Premium";2777
0,7;"Premium";2777
0,7;"Premium";2777
0,7;"Premium";2777
0,7;"Premium";2777
0,7;"Premium";2777
0,7;"Ideal";2777
0,72;"Premium";2777
0,7;"Very Good";2777
0,7;"Premium";2777
0,7;"Premium";2777
0,7;"Good";2777
0,98;"Fair";2777
0,78;"Premium";2777
0,7;"Very Good";2777
0,52;"Ideal";2778
0,73;"Very Good";2779
0,74;"Ideal";2779
0,7;"Very Good";2780
0,77;"Premium";2780
0,71;"Ideal";2780
0,74;"Ideal";2780
0,7;"Ideal";2780
1,01;"Premium";2781
0,77;"Ideal";2781
0,78;"Ideal";2781
0,72;"Very Good";2782
0,53;"Very Good";2782
0,76;"Ideal";2782
0,7;"Good";2782
0,7;"Premium";2782
0,75;"Very Good";2782
0,72;"Ideal";2782
0,72;"Premium";2782
0,7;"Premium";2782
0,84;"Fair";2782
0,75;"Premium";2782
0,52;"Ideal";2783
0,72;"Very Good";2784
0,79;"Very Good";2784
0,72;"Very Good";2787
0,51;"Ideal";2787
0,64;"Ideal";2787
0,7;"Very Good";2788
0,83;"Very Good";2788
0,76;"Ideal";2788
0,71;"Good";2788
0,77;"Good";2788
0,71;"Ideal";2788
1,01;"Fair";2788
1,01;"Premium";2788
0,77;"Good";2789
0,76;"Good";2789
0,76;"Premium";2789
0,76;"Premium";2789
1,05;"Very Good";2789
0,81;"Ideal";2789
0,7;"Ideal";2789
0,55;"Ideal";2789
0,81;"Good";2789
0,63;"Premium";2789
0,63;"Premium";2789
0,77;"Premium";2789
1,05;"Fair";2789
0,64;"Ideal";2790
0,76;"Premium";2790
0,83;"Ideal";2790
0,71;"Premium";2790
0,71;"Premium";2790
0,87;"Very Good";2791
0,73;"Ideal";2791
0,71;"Premium";2792
0,71;"Premium";2792
0,71;"Ideal";2792
0,7;"Premium";2792
0,7;"Premium";2792
0,76;"Premium";2792
0,7;"Ideal";2792
0,79;"Very Good";2793
0,7;"Very Good";2793
0,7;"Good";2793
0,76;"Ideal";2793
0,73;"Ideal";2793
0,79;"Very Good";2794
0,71;"Very Good";2795
0,81;"Premium";2795
0,81;"Ideal";2795
0,72;"Good";2795
0,72;"Premium";2795
0,72;"Premium";2795
0,81;"Premium";2795
0,72;"Premium";2795
1;"Premium";2795
0,73;"Good";2796
0,81;"Very Good";2797
0,81;"Very Good";2797
0,71;"Premium";2797
0,71;"Premium";2797
0,71;"Premium";2797
0,57;"Ideal";2797
0,51;"Ideal";2797
0,72;"Ideal";2797
0,74;"Ideal";2797
0,74;"Ideal";2797
0,7;"Fair";2797
0,8;"Premium";2797
1,01;"Fair";2797
0,8;"Very Good";2797
0,77;"Ideal";2798
0,83;"Very Good";2799
0,82;"Ideal";2799
0,78;"Ideal";2799
0,6;"Very Good";2800
0,9;"Good";2800
0,7;"Premium";2800
0,9;"Very Good";2800
0,83;"Ideal";2800
0,83;"Ideal";2800
0,83;"Very Good";2800
0,74;"Premium";2800
0,79;"Ideal";2800
0,61;"Ideal";2800
0,76;"Fair";2800
0,96;"Ideal";2801
0,73;"Ideal";2801
0,73;"Premium";2801
0,75;"Ideal";2801
0,71;"Premium";2801
0,71;"Good";2801
0,71;"Good";2801
0,71;"Premium";2801
1,04;"Premium";2801
1;"Premium";2801
0,87;"Very Good";2802
0,53;"Ideal";2802
0,72;"Premium";2802
0,72;"Premium";2802
0,7;"Very Good";2803
0,74;"Very Good";2803
0,71;"Ideal";2803
0,73;"Ideal";2803
0,7;"Good";2803
0,71;"Premium";2803
0,71;"Premium";2803
0,71;"Premium";2803
0,77;"Premium";2803
0,71;"Premium";2803
0,78;"Premium";2803
0,71;"Very Good";2803
0,91;"Ideal";2803
0,71;"Very Good";2804
0,71;"Very Good";2804
0,8;"Very Good";2804
0,7;"Very Good";2804
0,72;"Ideal";2804
0,72;"Very Good";2804
0,82;"Ideal";2804
0,7;"Ideal";2804
0,72;"Ideal";2804
0,72;"Ideal";2804
0,9;"Fair";2804
0,74;"Premium";2805
0,74;"Premium";2805
0,73;"Ideal";2805
0,57;"Fair";2805
0,73;"Premium";2805
0,72;"Ideal";2805
0,74;"Fair";2805
0,82;"Good";2805
0,81;"Very Good";2806
0,75;"Very Good";2806
0,7;"Ideal";2806
0,71;"Very Good";2807
0,71;"Very Good";2807
0,93;"Premium";2807
0,8;"Very Good";2808
0,7;"Very Good";2808
1;"Fair";2808
0,75;"Very Good";2808
0,58;"Ideal";2808
0,73;"Very Good";2808
0,81;"Very Good";2809
0,81;"Premium";2809
0,71;"Premium";2809
1,2;"Fair";2809
0,7;"Very Good";2810
0,7;"Very Good";2810
0,74;"Ideal";2810
0,7;"Good";2810
0,8;"Good";2810
0,75;"Very Good";2811
0,83;"Very Good";2811
1;"Fair";2811
0,99;"Fair";2811
0,7;"Very Good";2812
0,7;"Very Good";2812
0,7;"Good";2812
0,7;"Very Good";2812
0,32;"Premium";554
0,32;"Premium";554
0,32;"Ideal";554
0,32;"Premium";554
0,32;"Very Good";554
0,32;"Ideal";554
0,3;"Premium";554
0,3;"Premium";554
0,3;"Premium";554
0,3;"Very Good";554
0,3;"Good";554
0,3;"Ideal";554
0,3;"Very Good";554
0,32;"Good";554
0,33;"Ideal";554
0,29;"Very Good";555
0,29;"Very Good";555
0,31;"Very Good";555
0,34;"Ideal";555
0,34;"Ideal";555
0,34;"Ideal";555
0,34;"Ideal";555
0,3;"Ideal";555
0,29;"Ideal";555
0,35;"Ideal";555
0,43;"Very Good";555
0,32;"Very Good";556
0,36;"Ideal";556
0,3;"Ideal";556
0,26;"Ideal";556
0,7;"Very Good";2812
0,7;"Very Good";2812
0,71;"Ideal";2812
0,99;"Fair";2812
0,73;"Premium";2812
0,51;"Ideal";2812
0,91;"Premium";2813
0,84;"Very Good";2813
0,91;"Good";2813
0,76;"Premium";2814
0,76;"Ideal";2814
0,75;"Premium";2814
0,55;"Very Good";2815
0,76;"Very Good";2815
0,74;"Premium";2815
0,7;"Ideal";2815
0,7;"Ideal";2815
0,7;"Ideal";2815
0,7;"Ideal";2815
0,9;"Fair";2815
0,95;"Fair";2815
0,89;"Premium";2815
0,72;"Premium";2815
0,96;"Fair";2815
1,02;"Premium";2815
0,78;"Very Good";2816
0,61;"Ideal";2816
0,71;"Good";2816
0,78;"Premium";2816
0,87;"Ideal";2816
0,83;"Ideal";2816
0,71;"Premium";2817
0,71;"Ideal";2817
0,71;"Ideal";2817
0,71;"Premium";2817
0,63;"Ideal";2817
0,71;"Premium";2817
0,71;"Premium";2817
0,71;"Ideal";2817
0,71;"Premium";2817
0,9;"Ideal";2817
0,71;"Good";2817
0,7;"Premium";2818
0,7;"Premium";2818
0,7;"Premium";2818
1;"Premium";2818
0,86;"Premium";2818
0,8;"Ideal";2818
0,7;"Ideal";2818
0,7;"Premium";2818
0,7;"Premium";2818
0,7;"Premium";2818
1;"Fair";2818
0,72;"Very Good";2819
0,72;"Ideal";2819
0,7;"Good";2819
0,86;"Good";2819
0,71;"Ideal";2820
0,75;"Ideal";2821
0,73;"Premium";2821
0,53;"Ideal";2821
0,73;"Premium";2821
0,73;"Good";2821
0,73;"Premium";2821
0,73;"Premium";2821
0,73;"Premium";2821
0,73;"Very Good";2821
0,7;"Premium";2822
0,72;"Premium";2822
0,72;"Premium";2822
0,72;"Premium";2822
0,7;"Premium";2822
0,6;"Ideal";2822
0,74;"Ideal";2822
0,73;"Ideal";2822
0,71;"Premium";2822
0,71;"Premium";2822
0,7;"Premium";2822
0,7;"Ideal";2822
0,9;"Good";2822
0,71;"Ideal";2822
0,7;"Premium";2822
0,7;"Premium";2822
0,7;"Ideal";2822
0,7;"Good";2822
0,7;"Ideal";2822
0,7;"Ideal";2822
0,7;"Premium";2822
0,7;"Premium";2822
0,7;"Ideal";2822
0,79;"Very Good";2823
0,9;"Good";2823
0,71;"Premium";2823
0,61;"Ideal";2823
0,9;"Fair";2823
0,71;"Ideal";2823
0,71;"Premium";2824
0,77;"Ideal";2824
0,74;"Good";2824
0,82;"Ideal";2824
0,82;"Premium";2824
0,71;"Premium";2825
0,83;"Premium";2825
0,73;"Very Good";2825
0,83;"Premium";2825
1,17;"Premium";2825
0,91;"Fair";2825
0,73;"Premium";2826
0,7;"Good";2826
0,9;"Premium";2826
0,7;"Premium";2826
0,7;"Very Good";2826
0,7;"Premium";2826
0,9;"Very Good";2826
0,78;"Premium";2826
0,96;"Ideal";2826
0,7;"Very Good";2827
0,72;"Good";2827
0,79;"Premium";2827
0,7;"Ideal";2827
0,7;"Ideal";2827
0,7;"Ideal";2828
1,01;"Premium";2828
0,72;"Premium";2829
0,8;"Good";2829
0,59;"Ideal";2829
0,72;"Ideal";2829
0,75;"Premium";2829
0,8;"Premium";2829
0,71;"Very Good";2830
0,77;"Very Good";2830
0,97;"Ideal";2830
0,53;"Ideal";2830
0,53;"Ideal";2830
0,8;"Ideal";2830
0,9;"Premium";2830
0,76;"Very Good";2831
0,72;"Ideal";2831
0,75;"Ideal";2831
0,72;"Premium";2831
0,79;"Ideal";2831
0,72;"Very Good";2832
0,91;"Very Good";2832
0,71;"Premium";2832
0,81;"Premium";2832
0,82;"Ideal";2832
0,71;"Premium";2832
0,9;"Good";2832
0,8;"Very Good";2833
0,56;"Very Good";2833
0,7;"Very Good";2833
0,7;"Ideal";2833
0,61;"Ideal";2833
0,85;"Ideal";2833
0,7;"Ideal";2833
0,8;"Ideal";2834
0,8;"Ideal";2834
0,51;"Very Good";2834
0,53;"Ideal";2834
0,78;"Ideal";2834
0,9;"Very Good";2834
0,9;"Fair";2834
0,77;"Ideal";2834
0,73;"Ideal";2835
0,63;"Ideal";2835
0,7;"Ideal";2835
0,72;"Ideal";2835
0,72;"Ideal";2835
0,75;"Premium";2835
0,82;"Very Good";2836
0,71;"Good";2836
0,7;"Premium";2837
0,7;"Ideal";2837
0,71;"Ideal";2838
0,76;"Very Good";2838
0,82;"Fair";2838
0,72;"Premium";2838
0,7;"Premium";2838
0,7;"Premium";2838
0,7;"Premium";2838
0,7;"Premium";2838
0,7;"Very Good";2838
0,7;"Premium";2838
0,7;"Premium";2838
0,7;"Premium";2838
0,74;"Very Good";2839
0,71;"Ideal";2839
0,7;"Ideal";2839
0,71;"Ideal";2839
0,71;"Premium";2839
0,71;"Premium";2839
0,71;"Premium";2839
0,7;"Ideal";2839
0,73;"Ideal";2839
0,7;"Ideal";2839
0,7;"Ideal";2839
0,71;"Premium";2839
0,71;"Premium";2839
0,79;"Premium";2839
0,71;"Premium";2839
0,77;"Very Good";2840
0,75;"Very Good";2840
0,7;"Ideal";2840
0,71;"Premium";2840
0,92;"Ideal";2840
0,83;"Premium";2840
0,7;"Premium";2840
0,73;"Premium";2841
0,71;"Very Good";2841
0,73;"Very Good";2841
0,82;"Ideal";2841
0,82;"Ideal";2841
0,82;"Very Good";2841
0,52;"Ideal";2841
1;"Premium";2841
0,95;"Fair";2841
0,73;"Ideal";2841
0,73;"Premium";2841
0,73;"Premium";2841
0,8;"Ideal";2842
0,7;"Premium";2842
0,7;"Very Good";2843
0,7;"Very Good";2843
0,71;"Very Good";2843
0,81;"Very Good";2843
0,71;"Very Good";2843
0,73;"Ideal";2843
0,73;"Very Good";2843
0,72;"Ideal";2843
0,81;"Ideal";2843
0,71;"Ideal";2843
0,73;"Very Good";2844
0,7;"Very Good";2844
1,01;"Ideal";2844
1,01;"Good";2844
0,79;"Ideal";2844
0,7;"Very Good";2845
0,7;"Very Good";2845
0,8;"Good";2845
1,27;"Premium";2845
0,79;"Ideal";2846
0,72;"Very Good";2846
0,73;"Ideal";2846
1,01;"Fair";2846
1,01;"Good";2846
0,73;"Ideal";2846
0,7;"Ideal";2846
0,7;"Good";2846
0,77;"Premium";2846
0,77;"Premium";2846
0,77;"Premium";2846
0,84;"Very Good";2847
0,72;"Ideal";2847
0,76;"Premium";2847
0,7;"Very Good";2848
0,54;"Ideal";2848
0,75;"Fair";2848
0,79;"Good";2849
0,74;"Very Good";2849
0,7;"Very Good";2850
0,7;"Ideal";2850
0,75;"Ideal";2850
1,2;"Very Good";2850
0,8;"Very Good";2851
0,66;"Ideal";2851
0,87;"Very Good";2851
0,86;"Premium";2851
0,74;"Ideal";2851
0,58;"Very Good";2852
0,78;"Ideal";2852
0,74;"Ideal";2852
0,73;"Ideal";2852
0,91;"Very Good";2852
0,71;"Premium";2853
0,71;"Good";2853
0,79;"Ideal";2853
0,79;"Premium";2853
0,71;"Premium";2853
0,82;"Premium";2853
0,78;"Very Good";2854
0,7;"Very Good";2854
1,12;"Premium";2854
0,73;"Premium";2854
0,91;"Fair";2854
0,91;"Fair";2854
0,91;"Good";2854
0,91;"Fair";2854
0,7;"Premium";2854
0,68;"Premium";2854
0,73;"Very Good";2855
1,03;"Good";2855
0,74;"Premium";2855
0,98;"Fair";2855
1,02;"Fair";2856
1;"Fair";2856
1,02;"Ideal";2856
0,6;"Ideal";2856
0,8;"Ideal";2856
0,97;"Ideal";2856
1;"Fair";2856
0,26;"Ideal";556
0,26;"Ideal";556
0,36;"Ideal";556
0,34;"Good";556
0,34;"Good";556
0,34;"Good";556
0,34;"Good";556
0,34;"Very Good";556
0,34;"Ideal";556
0,32;"Good";556
0,31;"Ideal";557
0,31;"Ideal";557
0,31;"Ideal";557
0,31;"Ideal";557
0,31;"Ideal";557
0,31;"Ideal";557
0,31;"Ideal";557
0,31;"Ideal";557
0,31;"Ideal";557
0,33;"Premium";557
0,33;"Premium";557
0,33;"Premium";557
0,33;"Ideal";557
0,33;"Premium";557
0,33;"Premium";557
0,33;"Premium";557
0,33;"Ideal";557
0,33;"Ideal";557
0,33;"Good";557
0,33;"Premium";557
1;"Fair";2856
0,77;"Premium";2856
0,77;"Premium";2856
0,7;"Good";2857
0,9;"Very Good";2857
0,72;"Ideal";2857
0,9;"Premium";2857
0,72;"Premium";2857
0,7;"Ideal";2858
0,81;"Very Good";2858
0,81;"Very Good";2858
0,71;"Premium";2858
0,7;"Premium";2858
0,71;"Premium";2858
0,71;"Very Good";2858
0,92;"Premium";2858
0,76;"Ideal";2858
0,73;"Ideal";2858
0,71;"Premium";2858
0,7;"Good";2858
0,9;"Fair";2858
0,71;"Fair";2858
0,7;"Ideal";2859
0,7;"Premium";2859
0,77;"Premium";2859
0,71;"Ideal";2859
0,7;"Premium";2859
0,75;"Fair";2859
0,83;"Premium";2859
0,71;"Very Good";2860
0,9;"Very Good";2860
0,6;"Ideal";2860
0,71;"Premium";2860
0,53;"Ideal";2860
0,71;"Premium";2861
0,62;"Ideal";2861
0,62;"Ideal";2861
0,9;"Premium";2861
0,62;"Fair";2861
0,82;"Premium";2861
0,66;"Premium";2861
0,7;"Very Good";2862
0,8;"Very Good";2862
0,8;"Very Good";2862
0,79;"Premium";2862
0,71;"Very Good";2862
0,7;"Ideal";2862
0,7;"Very Good";2862
0,79;"Premium";2862
0,7;"Premium";2862
1,22;"Premium";2862
1,01;"Fair";2862
0,73;"Premium";2862
0,91;"Good";2863
0,71;"Ideal";2863
0,83;"Premium";2863
0,84;"Premium";2863
0,71;"Premium";2863
0,71;"Premium";2863
0,71;"Premium";2863
0,71;"Ideal";2863
0,71;"Premium";2863
0,71;"Premium";2863
0,91;"Premium";2863
0,9;"Premium";2863
0,71;"Premium";2863
0,71;"Premium";2863
0,72;"Ideal";2863
0,72;"Premium";2863
0,71;"Ideal";2863
0,81;"Ideal";2864
0,83;"Very Good";2865
0,73;"Premium";2865
0,56;"Very Good";2866
0,56;"Very Good";2866
0,71;"Ideal";2866
0,7;"Ideal";2866
0,96;"Premium";2866
0,71;"Very Good";2867
0,7;"Ideal";2867
0,71;"Ideal";2867
0,8;"Premium";2867
0,95;"Premium";2867
0,82;"Ideal";2867
0,52;"Ideal";2867
0,82;"Ideal";2867
0,82;"Ideal";2867
0,82;"Premium";2867
0,8;"Ideal";2867
0,96;"Fair";2867
0,72;"Ideal";2868
0,62;"Ideal";2868
0,79;"Premium";2868
0,75;"Very Good";2868
1,08;"Premium";2869
0,72;"Ideal";2869
0,62;"Ideal";2869
0,73;"Ideal";2869
0,72;"Ideal";2869
0,52;"Premium";2870
0,83;"Ideal";2870
0,64;"Premium";2870
0,8;"Ideal";2870
0,74;"Ideal";2870
0,72;"Ideal";2870
0,82;"Ideal";2870
0,73;"Premium";2870
1,04;"Premium";2870
0,73;"Very Good";2871
0,73;"Good";2871
0,9;"Premium";2871
0,75;"Ideal";2871
0,79;"Ideal";2871
0,7;"Good";2872
0,75;"Very Good";2872
1,02;"Ideal";2872
0,7;"Very Good";2872
0,7;"Ideal";2872
0,7;"Good";2872
0,7;"Ideal";2872
0,7;"Ideal";2872
0,7;"Very Good";2872
0,72;"Very Good";2872
0,74;"Ideal";2872
0,84;"Good";2872
0,76;"Very Good";2873
0,77;"Very Good";2873
0,76;"Ideal";2873
1;"Ideal";2873
1;"Fair";2873
0,9;"Fair";2873
0,9;"Premium";2873
0,9;"Good";2873
0,9;"Fair";2873
0,9;"Fair";2873
0,9;"Premium";2873
0,78;"Premium";2874
0,71;"Premium";2874
0,7;"Premium";2874
0,7;"Premium";2874
0,7;"Premium";2874
0,7;"Ideal";2874
0,7;"Ideal";2874
0,7;"Ideal";2874
0,7;"Premium";2874
1;"Fair";2875
0,77;"Ideal";2875
1;"Fair";2875
1;"Fair";2875
1;"Fair";2875
0,73;"Premium";2876
0,79;"Premium";2876
0,72;"Very Good";2877
0,71;"Ideal";2877
0,74;"Ideal";2877
0,7;"Good";2877
0,7;"Good";2877
0,79;"Very Good";2878
0,79;"Very Good";2878
0,79;"Very Good";2878
0,71;"Ideal";2878
0,79;"Ideal";2878
0,73;"Very Good";2879
0,63;"Premium";2879
0,7;"Premium";2879
0,71;"Premium";2879
0,84;"Ideal";2879
0,84;"Ideal";2879
1,02;"Ideal";2879
0,72;"Fair";2879
0,72;"Ideal";2879
0,92;"Very Good";2880
0,74;"Very Good";2880
0,7;"Ideal";2881
0,71;"Very Good";2881
1,05;"Premium";2881
0,7;"Very Good";2882
0,54;"Ideal";2882
0,73;"Premium";2882
0,88;"Fair";2882
0,73;"Premium";2882
0,72;"Ideal";2883
0,9;"Good";2883
0,9;"Fair";2883
1,03;"Fair";2884
0,84;"Very Good";2885
1,01;"Premium";2885
0,77;"Ideal";2885
0,8;"Fair";2885
0,9;"Fair";2885
0,73;"Ideal";2886
0,72;"Ideal";2886
0,71;"Very Good";2887
0,7;"Premium";2887
0,79;"Ideal";2888
0,72;"Very Good";2889
0,7;"Very Good";2889
0,7;"Very Good";2889
0,9;"Good";2889
0,71;"Very Good";2889
0,5;"Ideal";2889
0,5;"Ideal";2889
0,74;"Ideal";2889
0,77;"Premium";2889
0,77;"Premium";2889
0,8;"Ideal";2890
0,8;"Ideal";2890
0,8;"Premium";2890
0,8;"Good";2890
0,66;"Ideal";2890
0,71;"Very Good";2891
0,71;"Ideal";2891
0,71;"Ideal";2891
0,71;"Ideal";2891
0,72;"Ideal";2891
0,71;"Good";2891
0,86;"Ideal";2892
1,19;"Fair";2892
0,71;"Very Good";2893
0,82;"Very Good";2893
0,71;"Ideal";2893
0,75;"Ideal";2893
0,7;"Very Good";2893
0,8;"Ideal";2893
0,82;"Good";2893
0,82;"Very Good";2893
0,82;"Premium";2893
0,81;"Very Good";2894
0,81;"Ideal";2894
0,76;"Ideal";2894
0,71;"Very Good";2895
0,7;"Very Good";2895
0,7;"Ideal";2895
0,74;"Very Good";2896
0,77;"Very Good";2896
0,77;"Very Good";2896
0,53;"Ideal";2896
0,79;"Ideal";2896
0,73;"Ideal";2896
0,77;"Ideal";2896
0,77;"Premium";2896
1,01;"Very Good";2896
1,01;"Ideal";2896
0,6;"Very Good";2897
0,76;"Premium";2897
0,54;"Ideal";2897
0,72;"Ideal";2897
0,72;"Good";2897
0,74;"Premium";2897
1,12;"Premium";2898
0,75;"Ideal";2898
0,77;"Ideal";2898
0,98;"Good";2898
0,79;"Ideal";2898
0,79;"Ideal";2898
0,79;"Ideal";2898
0,79;"Ideal";2898
0,79;"Ideal";2898
0,79;"Ideal";2898
0,7;"Good";2899
0,7;"Very Good";2900
0,72;"Premium";2900
0,8;"Premium";2901
0,81;"Ideal";2901
0,81;"Premium";2901
0,74;"Ideal";2901
0,73;"Premium";2902
0,73;"Ideal";2902
0,75;"Ideal";2902
0,71;"Fair";2902
0,71;"Premium";2902
0,75;"Premium";2903
0,75;"Ideal";2903
0,72;"Ideal";2903
0,72;"Premium";2903
0,72;"Premium";2903
0,79;"Very Good";2904
0,79;"Very Good";2904
0,7;"Very Good";2904
0,62;"Ideal";2904
0,7;"Very Good";2905
0,7;"Very Good";2905
0,7;"Very Good";2905
0,71;"Very Good";2905
0,86;"Very Good";2905
0,53;"Ideal";2905
0,91;"Very Good";2905
0,95;"Good";2905
0,91;"Premium";2905
0,74;"Very Good";2906
0,8;"Ideal";2906
0,74;"Good";2906
0,61;"Ideal";2907
0,61;"Ideal";2907
0,61;"Ideal";2907
0,72;"Ideal";2907
0,7;"Ideal";2907
0,71;"Ideal";2907
0,79;"Ideal";2907
0,72;"Ideal";2907
0,33;"Ideal";557
0,39;"Ideal";558
0,32;"Ideal";558
0,25;"Premium";558
0,25;"Good";558
0,25;"Premium";558
0,25;"Premium";558
0,31;"Premium";558
0,31;"Premium";558
0,31;"Very Good";558
0,31;"Premium";558
0,31;"Premium";558
0,31;"Premium";558
0,31;"Ideal";558
0,31;"Ideal";558
0,31;"Ideal";558
0,31;"Premium";558
0,31;"Ideal";558
0,31;"Premium";558
0,31;"Premium";558
0,31;"Premium";558
0,31;"Very Good";558
0,31;"Premium";558
0,31;"Premium";558
0,31;"Premium";558
0,31;"Good";558
0,31;"Premium";558
0,31;"Premium";558
0,31;"Ideal";558
0,31;"Premium";558
0,82;"Very Good";2908
0,73;"Ideal";2908
0,7;"Premium";2909
0,7;"Premium";2909
0,71;"Ideal";2909
0,71;"Ideal";2909
0,9;"Ideal";2909
0,71;"Very Good";2910
1,05;"Premium";2911
0,59;"Ideal";2911
0,71;"Ideal";2911
0,77;"Good";2911
0,73;"Good";2912
0,7;"Good";2912
0,73;"Good";2912
0,8;"Premium";2912
1;"Fair";2912
1;"Fair";2912
1;"Fair";2912
0,7;"Very Good";2913
0,71;"Premium";2913
0,71;"Premium";2913
0,71;"Premium";2913
0,71;"Very Good";2913
0,71;"Ideal";2913
0,71;"Premium";2913
0,91;"Premium";2913
0,83;"Premium";2913
0,85;"Ideal";2913
0,8;"Very Good";2914
0,73;"Ideal";2914
0,83;"Very Good";2915
0,77;"Very Good";2915
0,8;"Very Good";2915
0,71;"Ideal";2915
0,73;"Very Good";2916
0,93;"Ideal";2917
0,74;"Premium";2917
0,7;"Ideal";2917
0,71;"Ideal";2917
0,71;"Very Good";2918
0,8;"Very Good";2918
0,71;"Ideal";2918
0,72;"Ideal";2918
0,83;"Very Good";2918
0,72;"Very Good";2919
0,8;"Very Good";2919
0,73;"Premium";2919
0,7;"Good";2919
0,73;"Ideal";2919
0,73;"Ideal";2919
0,71;"Premium";2920
0,72;"Ideal";2920
0,71;"Premium";2920
0,71;"Ideal";2920
0,74;"Very Good";2921
0,71;"Very Good";2921
